Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	ei	ei	e								
acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	eui	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ei	e	e	e							
acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ei	ei	ei								
acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	eru	i	e								
acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	ei	ei	ei	ei	i	i	i	i	i	i	i
acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	eui	i									
aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	ui	ui	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	eui	u	u	ui	ui	ui	ui	ui	ui	ui	ui
aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	ui	ui	u	u	u	u	u	u	u	u	u
aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	ui	ui	ui	ui	ui	ui	ui	ui	ui	ui	ui
aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	ui	ui	u	u	u	u	u	u	u	u	u
aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u										
aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	u	u	u	u	u	u	u	u	u	u
aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	ui	u	u	ui	ui	ui	ui	ui	ui	ui	ui
aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	u	u	u	u	u	u	u	u	u	u	u
aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	eui										
adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter		u	u	u	u	u	u	u	u	u	u
adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	ī	ī	i	i	i	i	i	i	i	i	i
adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	u	u	u	u	u	u	u	u	u	u	u
adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	ui	i	i	i	i	i	i	i	i	i	i
adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	i	u	u	u	u	u	u	u	u	u
adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oru										
adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	u	u	u	u	u	u	u	u	u	u	u
adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i	i	i	i	i	i	i		i	i	i
adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	um	adulterum	u	u	u	u	u	u	u	u	u	u	u
adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	īs	adulterīs	ī	i									
adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	us	adventus	ui	ui	u	u	u	u	u	u	u	u	u
adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	ibus	adventibus	eui	u	u	ui	ui	ui	ui	ui	ui	ui	ui
adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	uī	adventuī	ui	ui	u	u	u	u	u	u	u	u	u
adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	ūs	adventūs	ui	ui	ui	ui	ui	ui	ui	ui	ui	ui	ui
adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	ūs	adventūs	ui	ui	u	u	u	u	u	u	u	u	u
adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	uum	adventuum	u										
adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	ū	adventū	u	u	u	u	u	u	u	u	u	u	u
adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	ūs	adventūs	ui	u	u	ui	ui	ui	ui	ui	ui	ui	ui
adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	um	adventum	u	u	u	u	u	u	u	u	u	u	u
adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	ibus	adventibus	eui										
aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	ēs	aedēs	ei										
aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	ibus	aedibus	eui	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	ī	aedī	i	e	e	e	e	e	e				
aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	ēs	aedēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	is	aedis	ei	ei	e								
aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	ium	aedium	eu										
aedes:Abl.Sg	3	f	Abl.Sg	Abl	Sg	68	e	aede	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	ēs	aedēs	ei	ei	ei	ei	i	i	i	i	i	i	i
aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	em	aedem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	ibus	aedibus	eui	i									
aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78		āēr											
aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	ibus	āeribus	eui	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	ī	āerī	i	e	e	e	e	e	e				
aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	ei	ei	ei								
aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	u										
aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	ēs	āerēs	ei	i	i	ei	i	i	i	i	i	i	i
aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	a	āera	a	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	ibus	āeribus	eui	i									
aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141		aes											
aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	ibus	aeribus	eui										
aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	ī	aerī	i										
aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	a	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	is	aeris	ei	ei	e								
aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	um	aerum	u										
aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	e	aere	ea	e									
