Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	es	e	e	-	-	-	-	-	-	-	-
acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ebos	eb	e	e	e	e	e	e	e	e	e
acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	es	es	e	e	e	e	e	e	e	e	e
acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ei	e	e	e	e	e	e	e	e	e	e
acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	es	e	e	e	e	e	e	e	e	e
acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	e	e	e	e	e	e	e	e	e	e
acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	es	es	-	-	-	-	-	-	-	-	-
acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	e	e	e	e	e	e	e	e	e	e
acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ebos	es	e	e	e	e	e	e	e	e	e
aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	os	os	o	o	o	o	o	o	o	o	o
aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ebos	bos	s	-	-	-	-	-	-	-	-
aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	oi	u	o	-	-	-	-	-	-	-	-
aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	us	os	-	-	-	-	-	-	-	-	-
aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	us	us	o	-	-	-	-	-	-	-	-
aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	os	-	-	-	-	-	-	-	-	-
aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	us	us	-	-	-	-	-	-	-	-	-
aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	o	o	o	o	o	o	o	o	o	o
aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	ebos	o	-	-	-	-	-	-	-	-	-
adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter	-	o	o	o	o	o	o	o	o	o	o
adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	is	is	s	-	-	-	-	-	-	-	-
adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	o	-	-	-	-	-	-	-	-	-	-
adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	os	s	-	-	-	-	-	-	-	-	-
adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	-	-	-	-	-	-	-	-	-	-
adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oro	-	-	-	-	-	-	-	-	-	-
adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	o	o	o	o	o	o	o	o	o	o	o
adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i	s	s	-	-	-	-	-	-	-	-
adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	um	adulterum	o	o	o	o	o	o	o	o	o	o	o
adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	īs	adulterīs	is	s	-	-	-	-	-	-	-	-	-
adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	us	adventus	os	os	o	o	o	o	o	o	o	o	o
adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	ibus	adventibus	ebos	bos	s	-	-	-	-	-	-	-	-
adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	uī	adventuī	oi	u	o	-	-	-	-	-	-	-	-
adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	ūs	adventūs	us	us	-	-	-	-	-	-	-	-	-
adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	ūs	adventūs	us	us	o	-	-	-	-	-	-	-	-
adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	uum	adventuum	u	o	-	-	-	-	-	-	-	-	-
adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	ū	adventū	u	o	o	o	o	o	o	o	o	o	o
adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	ūs	adventūs	us	us	-	-	-	-	-	-	-	-	-
adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	um	adventum	o	o	o	o	o	o	o	o	o	o	o
adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	ibus	adventibus	ebos	o	-	-	-	-	-	-	-	-	-
aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	ēs	aedēs	es	-	-	-	-	-	-	-	-	-	-
aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	ibus	aedibus	ebos	ebos	e	e	e	e	e	e	e	e	e
aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	ī	aedī	i	e	e	e	e	e	e	e	e	e	e
aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	ēs	aedēs	es	es	e	e	e	e	e	e	e	e	e
aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	is	aedis	es	es	e	e	e	e	e	e	e	e	e
aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	ium	aedium	eo	-	-	e	e	e	e	e	e	e	e
aedes:Abl.Sg	3	f	Abl.Sg	Abl	Sg	68	e	aede	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	ēs	aedēs	es	s	-	-	-	-	-	-	-	-	-
aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	em	aedem	e	e	e	e	e	e	e	e	e	e	e
aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	ibus	aedibus	ebos	e	e	e	e	e	e	e	e	e	e
aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78		āēr	-	-	-	-	-	-	-	-	-	-	-
aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	ibus	āeribus	ebos	ebos	e	e	e	e	e	e	e	e	e
aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	ī	āerī	i	e	e	e	e	e	e	e	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	es	es	e	e	e	e	e	e	e	e	e
aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	es	-	e	e	e	e	e	e	e	e	e
aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	o	-	-	e	e	e	e	e	e	e	e
aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	e	e	e	e	e	e	e	e	e	e	e
