Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	i	e	e	-	-	-	-	-	-	-	-
acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ebo	e	i	i	e	-	-	-	-	-	-
acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	i	i	i	i	-	-	-	-	-	-	-
acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	i	i	i	i	-	-	-	-	-	-	-
acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	i	i	i	i	i	-	-	-	-	-	-
acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	i	i	i	-	-	-	-	-	-	-
acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	e	e	e	e	-	-	-	-	-	-
acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	i	i	-	-	-	-	-	-	-	-	-
acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	e	e	e	-	-	-	-	-	-	-
acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ebo	i	i	i	-	-	-	-	-	-	-
aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	o	u	o	o	o	o	o	o	o	o	o
aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ebo	-	-	-	-	-	-	-	-	-	-
aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	o	i	-	-	-	-	-	-	-	-	-
aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	u	-	-	-	-	-	-	-	-	-	-
aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	u	u	u	-	-	-	-	-	-	-	-
aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	u	-	-	-	-	-	-	-	-	-
aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	u	u	-	-	-	-	-	-	-	-	-
aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	o	o	o	o	o	o	o	o	o	o
aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	ebo	-	-	-	-	-	-	-	-	-	-
adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter	-	o	o	o	o	o	o	o	o	o	o
adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	īs	adulterīs	i	e	-	-	-	-	-	-	-	-	-
adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	ō	adulterō	o	i	i	-	-	-	-	-	-	-	-
adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	ōs	adulterōs	o	-	-	-	-	-	-	-	-	-	-
adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	ī	adulterī	i	i	i	-	-	-	-	-	-	-	-
adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	ōrum	adulterōrum	oro	-	-	-	-	-	-	-	-	-	-
adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	ō	adulterō	o	o	o	o	o	o	o	o	o	o	o
adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	ī	adulterī	i	-	-	-	-	-	-	-	-	-	-
