Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
abellana:accpl	f,1,acc,pl	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
abellana:nompl	f,1,nom,pl	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
abellana:accsg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
abellana:genpl	f,1,gen,pl	f,1,acc,pl	m,3,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
abellana:gensg	f,1,gen,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
abellana:nomsg	f,1,nom,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg	f,1,acc,sg
absinthium:accpl	n,2,acc,pl	f,1,nom,sg	f,1,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg
absinthium:nompl	n,2,nom,pl	f,1,nom,sg	f,1,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg
absinthium:accsg	n,2,acc,sg	m,2,acc,sg	f,1,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg	m,2,acc,sg
absinthium:genpl	n,2,gen,pl	f,2,gen,pl	f,3,gen,pl	f,1,gen,pl	m,3,gen,pl	m,3,gen,pl	m,3,gen,sg	f,1,gen,sg	m,2,gen,sg	f,1,gen,sg	f,1,gen,sg	f,1,gen,sg	f,1,gen,sg	m,2,gen,sg	f,1,gen,sg	f,1,gen,sg
