Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
abellana:accpl	f,1,acc,pl,abellanaas	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam
abellana:nompl	f,1,nom,pl,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam
abellana:accsg	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	n,2,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:genpl	f,1,gen,pl,abellanaarum	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam
abellana:gensg	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam
abellana:nomsg	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	n,2,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
absinthium:accpl	n,2,acc,pl,absintia	n,1,nom,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
absinthium:nompl	n,2,nom,pl,absintia	n,1,nom,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
absinthium:accsg	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
absinthium:genpl	n,2,gen,pl,absintioorum	n,3,acc,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
absinthium:gensg	n,2,gen,sg,absintiii	n,1,acc,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
absinthium:nomsg	n,2,nom,sg,absintium	n,2,acc,sg,absintium	n,1,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium	n,2,acc,sg,absintium
abyssus:accpl	f,2,acc,pl,abissoos	m,3,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
abyssus:nompl	f,2,nom,pl,abissii	m,2,gen,sg,abissii	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
abyssus:accsg	f,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum
abyssus:genpl	f,2,gen,pl,abissoorum	m,3,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum
abyssus:gensg	f,2,gen,sg,abissii	m,2,gen,sg,abissii	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
abyssus:nomsg	f,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
