Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
abellana:accpl	f,1,acc,pl,abellanaas	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:nompl	f,1,nom,pl,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:accsg	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:genpl	f,1,gen,pl,abellanaarum	f,1,nom,pl,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:gensg	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
abellana:nomsg	f,1,nom,sg,abellana	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam
absinthium:accpl	n,2,acc,pl,absintia	f,1,gen,sg,absintiii	f,1,gen,sg,absintiii	f,1,gen,sg,absintiii	m,1,nom,sg,absintium	m,2,nom,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:nompl	n,2,nom,pl,absintia	f,1,gen,sg,absintiii	f,1,gen,sg,absintiii	f,1,gen,sg,absintiii	m,1,nom,sg,absintium	m,2,nom,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:accsg	n,2,acc,sg,absintium	f,2,acc,sg,absintium	f,1,acc,sg,absintium	f,1,acc,sg,absintium	f,1,acc,sg,absintium	m,2,nom,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:genpl	n,2,gen,pl,absintioorum	m,3,gen,sg,absintiii	f,1,gen,sg,absintiii	f,1,gen,sg,absintiii	m,1,nom,sg,absintium	m,2,nom,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
